id;timestamp_utc;name;description;address;register_type;raw_value;value;unit;source
8107;2026-08-04T08:19:00.870354+00:00;outdoor_temperature;Außentemperatur;247;holding;21.0;21.0;°C;/dev/ttyUSB0
8108;2026-08-04T08:19:00.870380+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
8109;2026-08-04T08:19:00.870406+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
8110;2026-08-04T08:19:00.870430+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
8111;2026-08-04T08:19:00.870455+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
8112;2026-08-04T08:19:00.870480+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
8113;2026-08-04T08:19:06.247395+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
8114;2026-08-04T08:19:06.247592+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
8115;2026-08-04T08:19:06.247637+00:00;outdoor_temperature;Außentemperatur;247;holding;21.0;21.0;°C;/dev/ttyUSB0
8116;2026-08-04T08:19:06.247663+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
8117;2026-08-04T08:19:06.247688+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
8118;2026-08-04T08:19:06.247712+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
8119;2026-08-04T08:19:06.247736+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
8120;2026-08-04T08:19:06.247760+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
8121;2026-08-04T08:19:11.628953+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
8122;2026-08-04T08:19:11.629190+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
8123;2026-08-04T08:19:11.629271+00:00;outdoor_temperature;Außentemperatur;247;holding;21.0;21.0;°C;/dev/ttyUSB0
8124;2026-08-04T08:19:11.629303+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
8125;2026-08-04T08:19:11.629329+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
8126;2026-08-04T08:19:11.629351+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
8127;2026-08-04T08:19:11.629372+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
8128;2026-08-04T08:19:11.629394+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
8129;2026-08-04T08:19:17.028538+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
8130;2026-08-04T08:19:17.028723+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
8131;2026-08-04T08:19:17.028769+00:00;outdoor_temperature;Außentemperatur;247;holding;21.0;21.0;°C;/dev/ttyUSB0
8132;2026-08-04T08:19:17.028799+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
8133;2026-08-04T08:19:17.028824+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
8134;2026-08-04T08:19:17.028848+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
8135;2026-08-04T08:19:17.028872+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
8136;2026-08-04T08:19:17.028906+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
8137;2026-08-04T08:19:22.440502+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
8138;2026-08-04T08:19:22.440706+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
8139;2026-08-04T08:19:22.440752+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
8140;2026-08-04T08:19:22.440779+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
8141;2026-08-04T08:19:22.440804+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
8142;2026-08-04T08:19:22.440829+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
8143;2026-08-04T08:19:22.440853+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
8144;2026-08-04T08:19:22.440880+00:00;setpoint;Sollwert;1;holding;34.0;34.0;°C;/dev/ttyUSB0
8145;2026-08-04T08:19:27.821990+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
